Player,Team,Conf,G,Cmp,Pass_Att,Cmp_Pct,Pass_Yds,Pass_TD,Int,Pass_Y/A,AY/A,PR,Year,School,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec,Rec_Yds,Y/R,Rec_TD,Plays,Tot_Yds,Y/P,Tot_TD
Hunter Vaughn,South Alabama,Sun Belt,6,38.0,59.0,64.4,342.0,1.0,6.0,5.8,1.56,98.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Montana,Tulane,American,4,45.0,79.0,57.0,342.0,1.0,3.0,4.3,2.87,89.9,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E.J. Hilliard,Florida International,CUSA,6,33.0,48.0,68.8,336.0,1.0,0.0,7.0,7.42,134.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Rivers,Vanderbilt,SEC,4,25.0,65.0,38.5,334.0,0.0,3.0,5.1,3.06,72.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Whipple,Massachusetts,MAC,6,25.0,48.0,52.1,325.0,3.0,3.0,6.8,5.21,117.1,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Connette,Fresno State,MWC,13,29.0,54.0,53.7,299.0,2.0,3.0,5.5,3.78,101.3,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Floyd,South Alabama,Sun Belt,5,19.0,44.0,43.2,264.0,0.0,3.0,6.0,2.93,79.9,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kameron Bryant,Appalachian State,Sun Belt,6,23.0,43.0,53.5,254.0,4.0,2.0,5.9,5.67,124.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Harrison,Utah State,MWC,3,18.0,35.0,51.4,249.0,3.0,0.0,7.1,8.83,139.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ash,Texas,Big 12,1,19.0,34.0,55.9,190.0,1.0,0.0,5.6,6.18,112.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Crower,Stanford,Pac-12,6,15.0,27.0,55.6,183.0,1.0,0.0,6.8,7.52,124.7,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
