Player,Team,Conf,G,Cmp,Pass_Att,Cmp_Pct,Pass_Yds,Pass_TD,Int,Pass_Y/A,AY/A,PR,Year,School,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec,Rec_Yds,Y/R,Rec_TD,Plays,Tot_Yds,Y/P,Tot_TD
D'Ernest Johnson,South Florida,American,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Greene,USC,Pac-12,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Thompson,Southern Mississippi,CUSA,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moe Neal,Syracuse,ACC,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Avant,Syracuse,ACC,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Kirk,Texas A&M,SEC,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Diarse,Texas Christian,Big 12,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Hicks,Texas Christian,Big 12,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Freytag,UTEP,CUSA,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Guidry,UTSA,CUSA,10,1.0,2.0,50.0,0.0,0.0,1.0,0.0,-22.5,-50.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Chunn,Troy,Sun Belt,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari Blasingame,Vanderbilt,SEC,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Sherfield,Vanderbilt,SEC,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taquan Mizzell,Virginia,ACC,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Ford,Virginia Tech,ACC,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Click,Virginia Tech,ACC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Flacco,Western Michigan,MAC,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Clement,Wisconsin,Big Ten,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Szpor,Wyoming,MWC,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Allen,Rutgers,Big Ten,2,1.0,12.0,8.3,-1.0,0.0,0.0,-0.1,-0.08,7.6,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandler Cox,Auburn,SEC,12,1.0,2.0,50.0,-3.0,0.0,1.0,-1.5,-24.0,-62.6,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Moore,Bowling Green,MAC,12,1.0,2.0,50.0,-5.0,0.0,0.0,-2.5,-2.5,29.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Yeomans,Kentucky,SEC,12,1.0,1.0,100.0,-10.0,0.0,0.0,-10.0,-10.0,16.0,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Rudolph,Oklahoma State,Big 12,13,318.0,489.0,65.0,4904.0,37.0,9.0,10.0,10.71,170.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,Oklahoma,Big 12,14,285.0,404.0,70.5,4627.0,43.0,6.0,11.5,12.91,198.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riley Ferguson,Memphis,American,13,299.0,474.0,63.1,4257.0,38.0,9.0,9.0,9.73,161.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike White,Western Kentucky,CUSA,13,368.0,560.0,65.7,4177.0,26.0,8.0,7.5,7.74,140.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,USC,Pac-12,14,303.0,480.0,63.1,4143.0,26.0,13.0,8.6,8.5,148.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Rogers,New Mexico State,Sun Belt,12,348.0,566.0,61.5,4016.0,27.0,18.0,7.1,6.62,130.5,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nic Shimonek,Texas Tech,Big 12,13,328.0,493.0,66.5,3963.0,33.0,10.0,8.0,8.46,152.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Woodside,Toledo,MAC,14,264.0,411.0,64.2,3882.0,28.0,8.0,9.4,9.93,162.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Stevens,Colorado State,MWC,13,284.0,459.0,61.9,3799.0,29.0,10.0,8.3,8.56,147.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Rosen,UCLA,Pac-12,11,283.0,452.0,62.6,3756.0,26.0,10.0,8.3,8.46,147.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,Louisville,ACC,13,254.0,430.0,59.1,3660.0,27.0,10.0,8.5,8.72,146.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Falk,Washington State,Pac-12,12,357.0,534.0,66.9,3593.0,30.0,13.0,6.7,6.76,137.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Silvers,Troy,Sun Belt,13,283.0,443.0,63.9,3290.0,17.0,7.0,7.4,7.48,135.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Morris,Central Michigan,MAC,13,249.0,446.0,55.8,3237.0,27.0,17.0,7.3,6.75,129.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurt Benkert,Virginia,ACC,13,298.0,509.0,58.5,3207.0,25.0,9.0,6.3,6.49,124.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Wolford,Wake Forest,ACC,12,239.0,374.0,63.9,3192.0,29.0,6.0,8.5,9.36,158.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Hill,Texas Christian,Big 12,13,269.0,400.0,67.3,3152.0,23.0,8.0,7.9,8.13,148.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conner Manning,Georgia State,Sun Belt,12,259.0,403.0,64.3,3146.0,14.0,7.0,7.8,7.72,137.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanner Lee,Nebraska,Big Ten,12,246.0,428.0,57.5,3143.0,23.0,16.0,7.3,6.74,129.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Litton,Marshall,CUSA,13,266.0,443.0,60.0,3115.0,25.0,14.0,7.0,6.74,131.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.T. Barrett,Ohio State,Big Ten,14,240.0,371.0,64.7,3053.0,35.0,9.0,8.2,9.02,160.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinton Flowers,South Florida,American,12,188.0,354.0,53.1,2911.0,25.0,6.0,8.2,8.87,142.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brogan Roback,Eastern Michigan,MAC,12,245.0,409.0,59.9,2890.0,19.0,15.0,7.1,6.34,127.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex McGough,Florida International,CUSA,13,232.0,355.0,65.4,2798.0,17.0,8.0,7.9,7.83,142.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Lamb,Appalachian State,Sun Belt,13,206.0,337.0,61.1,2737.0,27.0,6.0,8.1,8.92,152.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Etling,LSU,SEC,13,165.0,275.0,60.0,2463.0,16.0,2.0,9.0,9.79,153.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Johnson,Kentucky,SEC,13,189.0,316.0,59.8,2305.0,10.0,6.0,7.3,7.07,127.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryant Shirreffs,Connecticut,American,9,171.0,260.0,65.8,2287.0,14.0,5.0,8.8,9.01,153.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Driskel,Florida Atlantic,CUSA,13,185.0,278.0,66.5,2247.0,15.0,4.0,8.1,8.51,149.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Sturm,UTSA,CUSA,11,185.0,297.0,62.3,2185.0,15.0,5.0,7.4,7.61,137.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Williams,Texas State,Sun Belt,12,194.0,333.0,58.3,2061.0,12.0,9.0,6.2,5.69,116.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Linehan,Idaho,Sun Belt,9,173.0,281.0,61.6,2056.0,16.0,4.0,7.3,7.81,139.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Lagow,Indiana,Big Ten,10,172.0,295.0,58.3,1936.0,15.0,8.0,6.6,6.36,124.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,Wyoming,MWC,11,152.0,270.0,56.3,1812.0,16.0,6.0,6.7,6.9,127.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Woodson,Akron,MAC,10,159.0,278.0,57.2,1777.0,14.0,9.0,6.4,5.94,121.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Marchi,Temple,American,7,136.0,245.0,55.5,1658.0,9.0,8.0,6.8,6.03,117.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Sirk,East Carolina,American,11,132.0,238.0,55.5,1655.0,9.0,9.0,7.0,6.01,118.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Urzua,Middle Tennessee State,CUSA,6,136.0,220.0,61.8,1522.0,7.0,9.0,6.9,5.71,122.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darell Garretson,Oregon State,Pac-12,10,128.0,221.0,57.9,1465.0,6.0,8.0,6.6,5.54,115.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Keane,Coastal Carolina,Sun Belt,10,100.0,170.0,58.8,1440.0,11.0,5.0,8.5,8.44,145.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Allen,Arkansas,SEC,8,105.0,187.0,56.1,1427.0,10.0,5.0,7.6,7.5,132.5,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Davis,Louisiana,Sun Belt,10,122.0,215.0,56.7,1386.0,10.0,8.0,6.4,5.7,118.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Davis,South Alabama,Sun Belt,9,100.0,175.0,57.1,1355.0,8.0,7.0,7.7,6.86,129.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent Myers,Utah State,MWC,10,124.0,197.0,62.9,1278.0,8.0,7.0,6.5,5.7,123.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Park,Iowa State,Big 12,4,100.0,162.0,61.7,1181.0,9.0,5.0,7.3,7.01,135.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Hilinski,Washington State,Pac-12,8,130.0,179.0,72.6,1176.0,7.0,7.0,6.6,5.59,132.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Bollas,Kent State,MAC,11,88.0,182.0,48.4,1133.0,4.0,12.0,6.2,3.7,94.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Postma,Houston,American,7,111.0,167.0,66.5,1125.0,5.0,6.0,6.7,5.72,125.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben DiNucci,Pitt,ACC,10,88.0,158.0,55.7,1091.0,5.0,5.0,6.9,6.11,117.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Anderson,Buffalo,MAC,5,66.0,106.0,62.3,1039.0,10.0,1.0,9.8,11.26,173.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Browne,Pitt,ACC,6,96.0,135.0,71.1,997.0,5.0,2.0,7.4,7.46,142.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John O'Korn,Michigan,Big Ten,10,84.0,157.0,53.5,973.0,2.0,6.0,6.2,4.73,102.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Milas,Ball State,MAC,12,110.0,207.0,53.1,970.0,2.0,8.0,4.7,3.14,88.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Ertz,Kansas State,Big 12,5,55.0,100.0,55.0,930.0,7.0,3.0,9.3,9.35,150.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad President,Tulsa,American,12,83.0,157.0,52.9,921.0,3.0,2.0,5.9,5.68,105.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Rhoda,Minnesota,Big Ten,7,59.0,109.0,54.1,839.0,5.0,4.0,7.7,6.96,126.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Bahl,Miami (OH),MAC,4,61.0,117.0,52.1,820.0,5.0,4.0,7.0,6.32,118.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zack Greenlee,UTEP,CUSA,9,72.0,151.0,47.7,818.0,4.0,6.0,5.4,4.16,94.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Williams,Utah,Pac-12,8,60.0,110.0,54.5,812.0,2.0,4.0,7.4,6.11,115.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montell Cozart,Boise State,MWC,14,61.0,97.0,62.9,754.0,10.0,1.0,7.8,9.37,160.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Allen,Houston,American,5,80.0,105.0,76.2,751.0,4.0,4.0,7.2,6.2,141.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Dawkins,Arizona,Pac-12,7,70.0,114.0,61.4,732.0,5.0,4.0,6.4,5.72,122.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Stanton,Nevada-Las Vegas,MWC,8,55.0,88.0,62.5,724.0,4.0,2.0,8.2,8.11,142.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Santacaterina,Northern Illinois,MAC,6,62.0,97.0,63.9,712.0,7.0,5.0,7.3,6.46,139.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Bolin,Rutgers,Big Ten,6,73.0,133.0,54.9,711.0,3.0,6.0,5.3,3.77,98.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demry Croft,Minnesota,Big Ten,9,51.0,123.0,41.5,674.0,4.0,7.0,5.5,3.57,86.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miklo Smalls,Rice,CUSA,6,43.0,75.0,57.3,623.0,1.0,5.0,8.3,5.57,118.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jordan,New Mexico,MWC,11,46.0,93.0,49.5,604.0,3.0,6.0,6.5,4.24,101.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Parr,Florida Atlantic,CUSA,9,43.0,75.0,57.3,588.0,4.0,2.0,7.8,7.71,135.5,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Smith,Louisiana-Monroe,Sun Belt,4,35.0,60.0,58.3,584.0,5.0,3.0,9.7,9.15,157.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reece Goddard,Western Michigan,MAC,7,44.0,96.0,45.8,542.0,3.0,3.0,5.6,4.86,97.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reece Goodard,Western Michigan,MAC,8,44.0,96.0,45.8,542.0,3.0,3.0,5.6,4.86,97.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chason Virgil,Fresno State,MWC,12,48.0,83.0,57.8,524.0,3.0,2.0,6.3,5.95,118.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Glaesmann,Rice,CUSA,6,32.0,72.0,44.4,500.0,3.0,6.0,6.9,4.03,99.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zack Mahoney,Syracuse,ACC,7,46.0,90.0,51.1,471.0,3.0,4.0,5.2,3.9,97.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chayce Crouch,Illinois,Big Ten,7,45.0,91.0,49.5,443.0,1.0,4.0,4.9,3.11,85.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anu Solomon,Baylor,Big 12,2,24.0,55.0,43.6,399.0,4.0,2.0,7.3,7.07,121.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colton Richardson,Idaho,Sun Belt,2,34.0,63.0,54.0,395.0,2.0,1.0,6.3,6.19,113.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kado Brown,Georgia Southern,Sun Belt,6,18.0,30.0,60.0,354.0,1.0,2.0,11.8,9.47,156.8,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Zaire,Florida,SEC,4,32.0,56.0,57.1,349.0,0.0,1.0,6.2,5.43,105.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Harris,North Carolina,ACC,6,35.0,71.0,49.3,346.0,1.0,8.0,4.9,0.08,72.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmad Bradshaw,Army,Ind,13,14.0,43.0,32.6,285.0,1.0,2.0,6.6,5.0,86.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beau Hoge,BYU,Ind,3,19.0,39.0,48.7,257.0,2.0,3.0,6.6,4.15,105.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zerrick Cooper,Clemson,ACC,10,25.0,41.0,61.0,256.0,2.0,0.0,6.2,7.22,129.5,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Petrino,Idaho,Sun Belt,9,23.0,33.0,69.7,248.0,3.0,2.0,7.5,6.61,150.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaymen Cureton,Nevada,MWC,3,20.0,38.0,52.6,213.0,3.0,1.0,5.6,6.0,120.5,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Brand,Maryland,Big Ten,5,24.0,47.0,51.1,204.0,1.0,2.0,4.3,2.85,86.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Graham,Northern Illinois,MAC,2,15.0,38.0,39.5,190.0,2.0,1.0,5.0,4.87,93.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnathan Lewis,Rutgers,Big Ten,7,14.0,38.0,36.8,167.0,2.0,4.0,4.4,0.71,70.1,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Alviti,Northwestern,Big Ten,5,11.0,22.0,50.0,155.0,1.0,0.0,7.0,7.95,124.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will McBride,Tennessee,SEC,3,17.0,40.0,42.5,152.0,1.0,2.0,3.8,2.05,72.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Del Rio,Florida,SEC,2,16.0,25.0,64.0,138.0,1.0,1.0,5.5,4.52,115.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Alie,Oregon,Pac-12,8,19.0,27.0,70.4,134.0,0.0,1.0,5.0,3.3,104.7,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Romine,Air Force,MWC,5,9.0,16.0,56.3,133.0,0.0,1.0,8.3,5.5,113.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Torrez,UTEP,CUSA,7,14.0,48.0,29.2,126.0,0.0,2.0,2.6,0.75,42.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooks Barden,Charlotte,CUSA,4,13.0,30.0,43.3,119.0,0.0,2.0,4.0,0.97,63.3,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Holley,Kent State,MAC,3,9.0,20.0,45.0,106.0,2.0,0.0,5.3,7.3,122.5,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnathan Brantley,Tulane,American,6,10.0,17.0,58.8,101.0,0.0,1.0,5.9,3.29,97.0,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Hubenak,Texas A&M,SEC,3,13.0,17.0,76.5,98.0,0.0,0.0,5.8,5.76,124.9,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Cornwell,Nevada,MWC,2,13.0,25.0,52.0,97.0,0.0,3.0,3.9,-1.52,60.6,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koy Detmer Jr.,BYU,Ind,2,7.0,20.0,35.0,91.0,0.0,3.0,4.6,-2.2,43.2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamrin Solomon,Florida Atlantic,CUSA,12,2.0,2.0,100.0,82.0,2.0,0.0,41.0,61.0,774.4,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
